supply_point_index,x_coordinate,y_coordinate,total_parking_slots,existing_num_SCS,existing_num_FCS,2018_Demand_Sum,2018_Demand_pts_cnt
97,36.21883863,22.23576563,32,4,14,5901.523253,67
13,36.42321533,32.55040832,28,7,5,4462.911262,38
45,36.7348354,40.1369401,31,7,6,4192.04188,19
11,36.86098867,25.0374022,21,9,4,2582.689505,15
1,37.33645053,58.11922465,27,4,7,3616.904998,34
7,38.16235914,24.63367334,32,6,6,3634.400485,19
80,38.26421743,39.71265108,25,8,9,1217.431556,6
26,38.31131287,52.8445835,31,7,11,8277.843298,40
6,38.60388019,37.60749211,25,9,8,3624.186569,19
92,39.02009598,5.800271657,19,6,3,9355.163599,117
8,39.21748351,42.0262009,30,9,1,5194.012588,27
69,40.22475027,18.35718707,30,5,6,7493.827897,78
72,40.25531888,57.65183063,24,10,1,2711.843243,42
30,40.46800896,21.62338431,19,5,2,2181.154722,20
76,41.84811989,4.258886252,10,4,2,6933.787062,71
67,42.21573067,47.48297955,33,8,13,4612.106213,22
32,42.65671376,36.59499687,34,7,10,2322.902231,16
98,42.93691547,38.12244184,28,7,5,2429.419762,21
43,43.40343976,48.64574955,33,6,10,2642.741465,12
53,43.92297742,47.48504683,34,2,16,2979.521206,20
78,43.94538341,29.60958946,36,11,8,5119.635879,31
54,45.36497648,33.54635969,32,3,10,3302.38634,26
95,45.47120394,20.99941388,24,3,4,3903.100707,33
22,45.96042571,51.65154432,20,5,4,4057.267235,23
83,46.16881376,25.84184377,26,7,6,2477.128742,17
2,46.70923189,57.52565043,31,6,14,1751.76804,62
77,47.82777663,24.49076987,29,7,11,1553.939011,10
63,48.30898518,53.07765932,18,6,5,735.7707062,10
40,49.12900754,27.62985572,24,7,6,2195.857125,9
42,49.19259261,40.25090423,30,11,4,6078.878516,31
71,49.58733916,36.44787444,35,12,7,2026.004936,16
19,49.73440989,27.59814558,28,6,8,1054.927545,5
47,49.82721658,50.44335522,21,5,1,2707.326458,18
89,49.83153499,47.82604485,31,3,10,2529.252584,11
33,49.88132548,44.70415569,29,6,7,4178.423432,23
0,50.1631097,19.41201447,23,5,3,2345.586514,42
21,50.18666036,53.90933293,28,10,8,1073.121225,10
27,50.62657355,24.86840897,29,8,4,3556.7159,29
16,50.709858,55.12703383,13,4,2,4055.614097,155
59,50.86657015,20.6674545,23,7,3,235.4832084,53
39,50.92205796,28.55452057,29,6,6,4411.019633,21
4,51.52178093,35.11675545,32,11,6,505.0818642,3
81,51.57725799,46.89401311,35,7,7,10167.36699,74
70,51.82392503,35.39985728,29,2,8,2120.102573,11
31,51.85605436,33.21646779,33,6,9,2458.810247,13
10,52.21843818,6.438881294,14,6,0,7411.723442,141
73,53.37176133,33.69187574,27,5,4,1586.021779,7
35,54.98723895,11.96746896,9,2,1,4195.359439,151
14,56.02709707,36.36169094,30,4,12,4420.013982,30
29,56.40170339,39.04766355,28,6,3,6245.673293,91
15,56.56800987,31.6532909,24,5,6,7937.872599,99
